id,user_id,token,amount,created_at,status,category,description,date,type,splitwise_expense_id,splitwise_group_name,splitwise_raw_json
19,2,QxAbbTcW1nRA7VG-5hVZMg,32.0,2025-12-08,approved,Food & Dining,smosa office,2025-12-08,expense,,,
20,4,Sd1lSSChGeCbTEnCQRkeag,20000.0,2025-12-08,pending,Other,SAURABH SINGH TOLIA,2025-12-08,expense,,,
21,4,WnS0wl78oAgTVs-p-QQFuQ,20000.0,2025-12-08,pending,Other,SAURABH SINGH TOLIA,2025-12-08,expense,,,
22,2,7tFyievF-N0aIr0U8GNrLg,500.0,2025-12-08,approved,Home & Garden,MAMTA,2025-12-08,expense,,,
23,2,yJRD0SpxUztdqaEzZeY8Hg,10.0,2025-12-08,approved,Transport,Maha Mumbai Metro Operation Corporation Limited,2025-12-08,expense,,,
24,2,UH8qKApxP91KFkubiGd6mA,44.0,2025-12-09,approved,Transport,Rapido,2025-12-09,expense,,,
25,2,Fe9UOJLVXb-xkgmQBEGbPw,39.0,2025-12-09,approved,Other,Compass,2025-12-09,expense,,,
26,2,ukS1aN7c_L-8GvGIkCohlw,92.0,2025-12-09,approved,Food & Dining,office lunch,2025-12-09,expense,,,
27,2,3R4UKfSe6s1956LTOYWFMg,10.0,2025-12-09,approved,Transport,Maha Mumbai Metro Operation Corporation Limited,2025-12-09,expense,,,
28,2,QV5A78SwUXdAn3meM_mKWg,389.0,2025-12-09,approved,Shopping,Zepto,2025-12-09,expense,,,
29,2,a2KeE1a_G_IzBSbjDPUFvA,97.0,2025-12-10,approved,Transport,office half with shreyansh ,2025-12-10,expense,,,
31,2,o9VIevLDqrI6_F1RqBJPtg,134.0,2025-12-10,approved,Food,Compass India Food Services Private Limited,2025-12-10,expense,,,
34,2,h5vFO2IuD7U8uU4cfuGnuQ,10.0,2025-12-10,approved,Transport,Maha Mumbai Metro Operation Corporation Limited,2025-12-10,expense,,,
35,4,GlkVkoGGJfpi00Z_m7vxIA,172.0,2025-12-10,pending,Shopping,ZEPTOMARKETPLACEPRIVATE,2025-12-10,expense,,,
36,2,_M_Ndkom0WfQKejd8zGMzg,98.0,2025-12-11,approved,Transport,auto morning ,2025-12-11,expense,,,
37,4,FY8RYc5n077Cxne5_EM-qw,103.0,2025-12-11,pending,Other,PUNEET KUMAR,2025-12-11,expense,,,
7,3,YHW96BnJm4CcaKxAtB0KUw,1.0,2025-12-04,approved,Entertainment,Kk,2025-12-04,expense,,,
38,2,YDRI57PeK57sfx13Y_ohGA,134.0,2025-12-11,approved,Food & Dining,lunch,2025-12-11,expense,,,
15,4,vb7enSwJ2vphNvOKe3LxYw,55.0,2025-12-06,approved,Food & Dining,M S SHREEJEE FO,2025-12-06,expense,,,
14,4,j9m9z5KHpcrYyjex0NDemw,51.0,2025-12-06,approved,Other,Not specified,2025-12-06,expense,,,
13,4,lAZKkBDNK7BSyZ6_LGHlbA,102.0,2025-12-06,approved,Other,Not specified,2025-12-06,expense,,,
16,4,hHI7pFKXunQUQywLHz985g,50.0,2025-12-07,pending,Other,Not specified,2025-12-07,expense,,,
17,2,cWm9PemPdM2kfRaygxSygw,1.0,2025-12-08,approved,Gifts & Donations,pratham bhdwa,2025-12-08,expense,,,
18,2,6dwsAp7FKw527OkqKH-EGQ,141.0,2025-12-08,approved,Transport,ANURAG MISHRA auto,2025-12-08,expense,,,
118,2,nQCfzNcLQzCNAt94HOIlPg,22.0,2025-12-23,pending,Other,MOHIT MOHIT [#642a0337ad8b6205],2025-12-23,expense,,,
120,2,Wq3ZtzzbxIVER1jdNhAZyA,22.0,2025-12-24,pending,Transport,Rapido [#e32915fb050c46ca],2025-12-24,expense,,,
119,2,qlBuH0d64DigFnh_uTQsOA,23.0,2025-12-23,pending,Transport,Rapido [#5097fc59702435fd],2025-12-23,expense,,,
121,4,EmNmhzBAILFaBPi3j1tIKg,30.0,2025-12-24,pending,Food,ALLIED FRUITS AN [#dc838e9cebfa1776],2025-12-24,expense,,,
59,2,pcfft0FoB8EvhZ56ZMpgsA,10.0,2025-12-11,approved,Transport,Maha Mumbai Metro Operation Corporation Limited,2025-12-11,expense,,,
63,4,2thYGfx_Upwu_yKmDf_B6w,103.0,2025-12-11,pending,Shopping,ZEPTOMARKETPLACEPRIVATE,2025-12-11,expense,,,
99,4,fJVoWZfuDewhni4u3W_Uhw,4240.92,2025-12-17,pending,Bills,MYJIO [#f5f25ec6fb35470b],2025-12-17,expense,,,
64,1,Dd6aRxHyYv1ziAgkJwo5iQ,60.0,2025-12-11,approved,Education,Sumit Dixit [#eb70aeef892bc4b5],2025-12-10,expense,,,
94,2,DkddS6J6sQMJJURHrCLlEQ,157.0,2025-12-16,approved,Food & Dining,Zepto [#108d71a74736f9f5],2025-12-15,expense,,,
65,1,-M-Gz4AXpieVGoG03PpfGQ,20.0,2025-12-11,approved,Food & Dining,BABLU [#9910e5e97a0f76db],2025-12-07,expense,,,
66,2,6H_RIsRbUFysKbBg3LI47g,50.0,2025-12-12,approved,Transport,Rapido [#e055342a5bfe06d4],2025-12-12,expense,,,
67,4,Htd6JVZr1lXqF0r6NuXVkQ,171.0,2025-12-12,pending,Shopping,ZEPTOMARKETPLACEPRIV [#403515a1efe25a00],2025-12-12,expense,,,
92,2,p_HKeA5Pc23wV5V2IRyw-g,5455.01,2025-12-15,approved,Shopping,Westside [#5ee59a9ea756a36f],2025-12-15,expense,,,
68,2,xu4zgi6gOnT6CBUz1qSdyQ,134.0,2025-12-12,approved,Food & Dining,office lunch,2025-12-12,expense,,,
69,4,_mGII3vQl6VPf7aVbf2Rkw,234.0,2025-12-12,pending,Other,BLINKMERCEPVTLTD [#4959fa1e0b502212],2025-12-12,expense,,,
70,4,Lc_MbupsMf8fS7hFuagllQ,99.0,2025-12-12,pending,Shopping,ZEPTOMARKETPLACEPRIVATE [#7efc841caf6bc214],2025-12-12,expense,,,
71,4,f21Eol-bVMXJ3ZmO7quXPA,891.45,2025-12-12,pending,Other,CASREDBUSINDIAPRIVAT [#8a5de2580a18b9fa],2025-12-12,expense,,,
72,4,1sucQA0Q8fMnHMIEOL1MlQ,115.0,2025-12-12,pending,Shopping,ZEPTOMARKETPLACEPRIVATE [#1b00b1a0e417c879],2025-12-12,expense,,,
73,2,xQ2ykgLaSw6s1eO6d0aNRw,10.0,2025-12-12,approved,Transport,Maha Mumbai Metro Operation Corporation Limited [#855a0abb2b7db9c5],2025-12-12,expense,,,
74,4,2VixT9i9qWzcyaWBDHZsvQ,955.0,2025-12-13,pending,Shopping,AMAZONPAYINDIAPRIVATET [#da1c44caf1bbb36c],2025-12-13,expense,,,
75,2,uZaPELbmHLQ9ORtJ34wE_g,3000.0,2025-12-13,approved,Shopping,jess,2025-12-13,expense,,,
86,2,0TlQH4EXEabdfgyH1oMBcA,50.0,2025-12-14,approved,Other,sumit-479@ptyes [#39f99bc3134b2b31],2025-12-14,expense,,,
76,2,ENFF6z8SsY71ums1EiBOcg,1000.0,2025-12-13,approved,Home & Garden,MAMTA [#6a52691533e6ce6e],2025-12-13,expense,,,
95,2,KiDX6K8D5J-qTmKzT1aayg,200.0,2025-12-16,approved,Other,UPI-571436591262-RASHEED [#6a0acfa20ca6e6fb],2025-12-14,expense,,,
79,2,FveAlbJuOKmzx0gC0ejSaA,112.0,2025-12-13,approved,Transport,Ashokkum [#bca446afdad03f46],2025-12-13,expense,,,
80,4,hf0d7Q31OCSmpZ7gCB-tGQ,219.0,2025-12-13,pending,Other,GAURI SHANKAR EN [#3d0cc320acfe4a6f],2025-12-13,expense,,,
81,2,k4jsJjOOrO_HnH9qzX1tEw,817.0,2025-12-13,approved,Food,Miya Kebabs Fort [#b76d999c2309a693],2025-12-14,expense,,,
82,4,br_tHKmeU2CaNvWgfevlJw,249.0,2025-12-14,pending,Shopping,ZEPTOMARKETPLACEPRIVATE [#1926543a35bd97ba],2025-12-14,expense,,,
83,4,jfgzXbAh8UQZkUkFpHjmmw,1258.95,2025-12-14,pending,Other,CASREDBUSINDIAPRIVAT [#4a10146049af9d0c],2025-12-14,expense,,,
87,2,NZpCd3n3Hf1ajpSAgO4Ctw,170.0,2025-12-14,approved,Other,SALIM [#6683579a0528a8f5],2025-12-14,expense,,,
84,2,th-Eb_WzeYGqIJMyBmMr-w,134.0,2025-12-14,approved,Food & Dining,A B SAKH [#f9f8f97f3348ba43],2025-12-14,expense,,,
85,4,D9hs4xY2YQOggPklok_mww,56.0,2025-12-14,pending,Food,JUST A MINUTE [#a473f82bd2196643],2025-12-14,expense,,,
89,4,XnvttDAyAbqoFbuG3xyKiA,465.2,2025-12-14,pending,Other,ETERNALLIMITED [#ac14f9dcc689112f],2025-12-14,expense,,,
93,4,X-MEwQ3fBBuvBpDTxbqASg,166.0,2025-12-16,pending,Shopping,ZEPTOMARKETPLACEPRIVATE [#a2819bd89bb41b87],2025-12-16,expense,,,
90,2,yxPf_40HEXL3eOsDGdXBXA,840.0,2025-12-14,approved,Food,Smoke [#7d810d3dc7aface5],2025-12-14,expense,,,
96,2,gmzhiw1IeC1r1GExKor6lg,1.0,2025-12-16,approved,Other,PANKAJ KUMAR [#7405a0d00500ce1e],2025-12-16,expense,,,
100,4,56rqOTVdmInTbxgiWsNcCQ,4240.92,2025-12-17,pending,Other,Not specified [#3db1cb503fe58513],2025-12-17,expense,,,
97,2,R6ffvg7AlcXG_1ggFrB3bQ,134.0,2025-12-16,approved,Food & Dining,pffice lunch,2025-12-16,expense,,,
101,4,ulUKKjyCBH25zMB7lgX4jw,127.0,2025-12-18,pending,Shopping,ZEPTOMARKETPLACEPRIVATE [#386fab81159fbc65],2025-12-18,expense,,,
98,2,RG04K4OBvflmE0uN-2XTWw,134.0,2025-12-17,approved,Food & Dining,lunch,2025-12-17,expense,,,
110,4,4eB5b99UqAp_pqCdNZNv2g,211.0,2025-12-20,pending,Shopping,ZEPTOMARKETPLACEPRIVATE [#399a482ca7534775],2025-12-20,expense,,,
102,2,ssOnuiQ1U87_yzBl8HovdQ,83.0,2025-12-18,approved,Transport,KANCHAM SAH [#535ed24efee96c0c],2025-12-18,expense,,,
103,4,nWcDTgKaIMiGI1W_sJxllg,25.0,2025-12-18,pending,Food,HungerBox [#e24df51f91ff33f4],2025-12-18,expense,,,
104,2,Qt9tbd8Ycfl1gz2bk02PvQ,10.0,2025-12-18,approved,Transport,Maha Mumbai Metro Operation Corporation Limited [#745e58e462ada6a5],2025-12-18,expense,,,
105,2,xe0cVZiYJgD4pYQprO_J0g,201.0,2025-12-18,pending,Other,Mohd Naushad [#fdf35af4119467e6],2025-12-19,expense,,,
106,2,afMQlxGfZmEh8eNTLoNFRg,201.0,2025-12-19,pending,Other,Mohd Naushad [#fdf35af4119467e6],2025-12-19,expense,,,
107,2,oS84PzKZH5TxsnoIJ9MfUQ,2900.0,2025-12-19,pending,Shopping,Fabulous Fashion [#b6cee115e4c878d1],2025-12-19,expense,,,
108,2,VgxQV58cKK55YyDEO_Zhjw,200.0,2025-12-19,pending,Other,UPI-571941883804-Sonam [#5472e502d416e796],2025-12-19,expense,,,
109,2,QpgIMpiNx1LlAb9DZrUblA,80.0,2025-12-19,pending,Other,NAFISH [#e6dfcd85237cf154],2025-12-19,expense,,,
111,2,CskGWOpEiMUOMwXcu6waVg,100.0,2025-12-20,pending,Other,UPI-535413423107-Ansar [#08f96f2ceea293ed],2025-12-20,expense,,,
112,4,_vRx7aWVyW8gbg2bCFwVJg,108.0,2025-12-20,pending,Shopping,ZEPTOMARKETPLACEPRIVATE [#d4d65c4dfdda7d60],2025-12-20,expense,,,
113,2,wz40S7EQOlIYXapw9MngEg,1770.0,2025-12-20,pending,Bills,IIBF BILLDESK [#d2a00fad57b6205d],2025-12-20,expense,,,
114,4,E2nHlol2lp9HehgkNGrzwg,478.06,2025-12-21,pending,Entertainment,BOOKMYSHOW [#9265ba99edce48c3],2025-12-21,expense,,,
115,2,XHEJs9a_qDwB42nh-p32_A,40.0,2025-12-21,pending,Shopping,GUPTA DISPOSABLE [#42655407e7b04f6e],2025-12-21,expense,,,
116,4,jCZID8nDLmeF2ghboiKLVQ,277.0,2025-12-22,pending,Shopping,ZEPTOMARKETPLACEPRIV [#683d011cb0402970],2025-12-22,expense,,,
117,2,F2i80-VQfv46CcQmzfnEmw,193.2,2025-12-23,pending,Food,Burger [#6f2018f24dfa096b],2025-12-23,expense,,,
